    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -30.0000  7.12892E-05  5.23966E-07  1.07317E-04  1.07317E-04  1.07317E-04  3.21951E-04  2.36629E-06  1.34788E-04  1.34788E-04  1.38374E-04  1.38374E-04  1.38374E-04  6.84698E-04  5.03244E-06  1.07794E-03  7.92270E-06
  -29.9000  7.15806E-05  1.05007E-06  1.07069E-04  1.07069E-04  1.07069E-04  3.21208E-04  4.72713E-06  1.35698E-04  1.35698E-04  1.39343E-04  1.39343E-04  1.39343E-04  6.89424E-04  1.00996E-05  1.08221E-03  1.58768E-05
  -29.8000  7.18769E-05  1.57836E-06  1.06827E-04  1.06827E-04  1.06827E-04  3.20482E-04  7.08262E-06  1.36617E-04  1.36617E-04  1.40323E-04  1.40323E-04  1.40323E-04  6.94203E-04  1.52019E-05  1.08656E-03  2.38629E-05
  -29.7000  7.21782E-05  2.10886E-06  1.06591E-04  1.06591E-04  1.06591E-04  3.19772E-04  9.43290E-06  1.37546E-04  1.37546E-04  1.41315E-04  1.41315E-04  1.41315E-04  6.99037E-04  2.03397E-05  1.09099E-03  3.18815E-05
  -29.6000  7.24846E-05  2.64161E-06  1.06359E-04  1.06359E-04  1.06359E-04  3.19078E-04  1.17781E-05  1.38485E-04  1.38485E-04  1.42318E-04  1.42318E-04  1.42318E-04  7.03925E-04  2.55135E-05  1.09549E-03  3.99332E-05
  -29.5000  7.27962E-05  3.17665E-06  1.06134E-04  1.06134E-04  1.06134E-04  3.18402E-04  1.41183E-05  1.39434E-04  1.39434E-04  1.43334E-04  1.43334E-04  1.43334E-04  7.08869E-04  3.07236E-05  1.10007E-03  4.80185E-05
  -29.4000  7.31131E-05  3.71402E-06  1.05914E-04  1.05914E-04  1.05914E-04  3.17741E-04  1.64537E-05  1.40394E-04  1.40394E-04  1.44361E-04  1.44361E-04  1.44361E-04  7.13869E-04  3.59704E-05  1.10472E-03  5.61381E-05
  -29.3000  7.34356E-05  4.25377E-06  1.05699E-04  1.05699E-04  1.05699E-04  3.17097E-04  1.87843E-05  1.41364E-04  1.41364E-04  1.45400E-04  1.45400E-04  1.45400E-04  7.18928E-04  4.12544E-05  1.10946E-03  6.42925E-05
  -29.2000  7.37636E-05  4.79592E-06  1.05490E-04  1.05490E-04  1.05490E-04  3.16470E-04  2.11103E-05  1.42345E-04  1.42345E-04  1.46451E-04  1.46451E-04  1.46451E-04  7.24044E-04  4.65761E-05  1.11428E-03  7.24823E-05
  -29.1000  7.40973E-05  5.34052E-06  1.05286E-04  1.05286E-04  1.05286E-04  3.15859E-04  2.34318E-05  1.43337E-04  1.43337E-04  1.47516E-04  1.47516E-04  1.47516E-04  7.29221E-04  5.19357E-05  1.11918E-03  8.07081E-05
  -29.0000  7.44368E-05  5.88762E-06  1.05088E-04  1.05088E-04  1.05088E-04  3.15265E-04  2.57490E-05  1.44340E-04  1.44340E-04  1.48593E-04  1.48593E-04  1.48593E-04  7.34457E-04  5.73339E-05  1.12416E-03  8.89705E-05
  -28.9000  7.47823E-05  6.43726E-06  1.04896E-04  1.04896E-04  1.04896E-04  3.14688E-04  2.80619E-05  1.45354E-04  1.45354E-04  1.49682E-04  1.49682E-04  1.49682E-04  7.39754E-04  6.27710E-05  1.12922E-03  9.72701E-05
  -28.8000  7.51339E-05  6.98949E-06  1.04709E-04  1.04709E-04  1.04709E-04  3.14128E-04  3.03707E-05  1.46379E-04  1.46379E-04  1.50785E-04  1.50785E-04  1.50785E-04  7.45113E-04  6.82475E-05  1.13437E-03  1.05608E-04
  -28.7000  7.54918E-05  7.54434E-06  1.04528E-04  1.04528E-04  1.04528E-04  3.13584E-04  3.26755E-05  1.47416E-04  1.47416E-04  1.51902E-04  1.51902E-04  1.51902E-04  7.50536E-04  7.37638E-05  1.13961E-03  1.13984E-04
  -28.6000  7.58561E-05  8.10187E-06  1.04353E-04  1.04353E-04  1.04353E-04  3.13058E-04  3.49764E-05  1.48464E-04  1.48464E-04  1.53032E-04  1.53032E-04  1.53032E-04  7.56024E-04  7.93205E-05  1.14494E-03  1.22399E-04
  -28.5000  7.62271E-05  8.66213E-06  1.04183E-04  1.04183E-04  1.04183E-04  3.12549E-04  3.72736E-05  1.49525E-04  1.49525E-04  1.54176E-04  1.54176E-04  1.54176E-04  7.61577E-04  8.49180E-05  1.15035E-03  1.30854E-04
  -28.4000  7.66050E-05  9.22517E-06  1.04019E-04  1.04019E-04  1.04019E-04  3.12057E-04  3.95672E-05  1.50597E-04  1.50597E-04  1.55335E-04  1.55335E-04  1.55335E-04  7.67197E-04  9.05568E-05  1.15586E-03  1.39349E-04
  -28.3000  7.69898E-05  9.79103E-06  1.03861E-04  1.03861E-04  1.03861E-04  3.11582E-04  4.18573E-05  1.51682E-04  1.51682E-04  1.56507E-04  1.56507E-04  1.56507E-04  7.72886E-04  9.62374E-05  1.16146E-03  1.47886E-04
  -28.2000  7.73817E-05  1.03598E-05  1.03708E-04  1.03708E-04  1.03708E-04  3.11125E-04  4.41440E-05  1.52779E-04  1.52779E-04  1.57695E-04  1.57695E-04  1.57695E-04  7.78644E-04  1.01960E-04  1.16715E-03  1.56464E-04
  -28.1000  7.77809E-05  1.09315E-05  1.03562E-04  1.03562E-04  1.03562E-04  3.10685E-04  4.64275E-05  1.53889E-04  1.53889E-04  1.58898E-04  1.58898E-04  1.58898E-04  7.84472E-04  1.07726E-04  1.17294E-03  1.65085E-04
  -28.0000  7.81876E-05  1.15061E-05  1.03421E-04  1.03421E-04  1.03421E-04  3.10263E-04  4.87079E-05  1.55012E-04  1.55012E-04  1.60116E-04  1.60116E-04  1.60116E-04  7.90372E-04  1.13535E-04  1.17882E-03  1.73749E-04
  -27.9000  7.86020E-05  1.20838E-05  1.03286E-04  1.03286E-04  1.03286E-04  3.09858E-04  5.09853E-05  1.56147E-04  1.56147E-04  1.61350E-04  1.61350E-04  1.61350E-04  7.96344E-04  1.19388E-04  1.18480E-03  1.82457E-04
  -27.8000  7.90244E-05  1.26647E-05  1.03157E-04  1.03157E-04  1.03157E-04  3.09472E-04  5.32599E-05  1.57297E-04  1.57297E-04  1.62599E-04  1.62599E-04  1.62599E-04  8.02391E-04  1.25286E-04  1.19089E-03  1.91210E-04
  -27.7000  7.94548E-05  1.32486E-05  1.03034E-04  1.03034E-04  1.03034E-04  3.09103E-04  5.55317E-05  1.58459E-04  1.58459E-04  1.63865E-04  1.63865E-04  1.63865E-04  8.08514E-04  1.31228E-04  1.19707E-03  2.00009E-04
  -27.6000  7.98936E-05  1.38358E-05  1.02918E-04  1.02918E-04  1.02918E-04  3.08753E-04  5.78010E-05  1.59635E-04  1.59635E-04  1.65147E-04  1.65147E-04  1.65147E-04  8.14713E-04  1.37216E-04  1.20336E-03  2.08853E-04
  -27.5000  8.03411E-05  1.44263E-05  1.02807E-04  1.02807E-04  1.02807E-04  3.08422E-04  6.00679E-05  1.60825E-04  1.60825E-04  1.66446E-04  1.66446E-04  1.66446E-04  8.20990E-04  1.43250E-04  1.20975E-03  2.17745E-04
  -27.4000  8.07973E-05  1.50202E-05  1.02703E-04  1.02703E-04  1.02703E-04  3.08109E-04  6.23324E-05  1.62030E-04  1.62030E-04  1.67763E-04  1.67763E-04  1.67763E-04  8.27347E-04  1.49331E-04  1.21625E-03  2.26684E-04
  -27.3000  8.12624E-05  1.56175E-05  1.02605E-04  1.02605E-04  1.02605E-04  3.07816E-04  6.45949E-05  1.63248E-04  1.63248E-04  1.69096E-04  1.69096E-04  1.69096E-04  8.33782E-04  1.55459E-04  1.22286E-03  2.35672E-04
  -27.2000  8.17369E-05  1.62182E-05  1.02514E-04  1.02514E-04  1.02514E-04  3.07541E-04  6.68552E-05  1.64480E-04  1.64480E-04  1.70447E-04  1.70447E-04  1.70447E-04  8.40301E-04  1.61636E-04  1.22958E-03  2.44709E-04
  -27.1000  8.22212E-05  1.68225E-05  1.02429E-04  1.02429E-04  1.02429E-04  3.07286E-04  6.91137E-05  1.65728E-04  1.65728E-04  1.71816E-04  1.71816E-04  1.71816E-04  8.46904E-04  1.67860E-04  1.23641E-03  2.53796E-04
  -27.0000  8.27156E-05  1.74305E-05  1.02350E-04  1.02350E-04  1.02350E-04  3.07051E-04  7.13705E-05  1.66991E-04  1.66991E-04  1.73204E-04  1.73204E-04  1.73204E-04  8.53593E-04  1.74134E-04  1.24336E-03  2.62935E-04
