    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -27.7000  1.01625E-04  1.65295E-05  7.35156E-05  7.35156E-05  7.35156E-05  2.20547E-04  3.75285E-05  4.68908E-04  4.68908E-04  4.77986E-04  4.77986E-04  4.77986E-04  2.37178E-03  3.62071E-04  2.69395E-03  4.16129E-04
  -27.6000  1.02410E-04  1.72822E-05  7.37784E-05  7.37784E-05  7.37784E-05  2.21335E-04  3.91552E-05  4.75311E-04  4.75311E-04  4.84616E-04  4.84616E-04  4.84616E-04  2.40447E-03  3.79743E-04  2.72821E-03  4.36181E-04
  -27.5000  1.03209E-04  1.80408E-05  7.40462E-05  7.40462E-05  7.40462E-05  2.22138E-04  4.07879E-05  4.81849E-04  4.81849E-04  4.91389E-04  4.91389E-04  4.91389E-04  2.43786E-03  3.97661E-04  2.76321E-03  4.56490E-04
  -27.4000  1.04022E-04  1.88053E-05  7.43191E-05  7.43191E-05  7.43191E-05  2.22957E-04  4.24266E-05  4.88527E-04  4.88527E-04  4.98310E-04  4.98310E-04  4.98310E-04  2.47199E-03  4.15830E-04  2.79896E-03  4.77062E-04
  -27.3000  1.04850E-04  1.95760E-05  7.45974E-05  7.45974E-05  7.45974E-05  2.23792E-04  4.40715E-05  4.95350E-04  4.95350E-04  5.05384E-04  5.05384E-04  5.05384E-04  2.50685E-03  4.34255E-04  2.83549E-03  4.97902E-04
  -27.2000  1.05692E-04  2.03528E-05  7.48811E-05  7.48811E-05  7.48811E-05  2.24643E-04  4.57226E-05  5.02321E-04  5.02321E-04  5.12615E-04  5.12615E-04  5.12615E-04  2.54249E-03  4.52942E-04  2.87282E-03  5.19017E-04
  -27.1000  1.06550E-04  2.11359E-05  7.51704E-05  7.51704E-05  7.51704E-05  2.25511E-04  4.73800E-05  5.09445E-04  5.09445E-04  5.20009E-04  5.20009E-04  5.20009E-04  2.57892E-03  4.71897E-04  2.91098E-03  5.40413E-04
  -27.0000  1.07423E-04  2.19255E-05  7.54654E-05  7.54654E-05  7.54654E-05  2.26396E-04  4.90440E-05  5.16726E-04  5.16726E-04  5.27569E-04  5.27569E-04  5.27569E-04  2.61616E-03  4.91125E-04  2.94998E-03  5.62094E-04
  -26.9000  1.08313E-04  2.27216E-05  7.57663E-05  7.57663E-05  7.57663E-05  2.27299E-04  5.07146E-05  5.24169E-04  5.24169E-04  5.35301E-04  5.35301E-04  5.35301E-04  2.65424E-03  5.10633E-04  2.98985E-03  5.84069E-04
  -26.8000  1.09218E-04  2.35243E-05  7.60729E-05  7.60729E-05  7.60729E-05  2.28219E-04  5.23920E-05  5.31776E-04  5.31776E-04  5.43208E-04  5.43208E-04  5.43208E-04  2.69318E-03  5.30428E-04  3.03061E-03  6.06344E-04
  -26.7000  1.10140E-04  2.43338E-05  7.63856E-05  7.63856E-05  7.63856E-05  2.29157E-04  5.40763E-05  5.39555E-04  5.39555E-04  5.51298E-04  5.51298E-04  5.51298E-04  2.73300E-03  5.50515E-04  3.07230E-03  6.28925E-04
  -26.6000  1.11080E-04  2.51502E-05  7.67048E-05  7.67048E-05  7.67048E-05  2.30114E-04  5.57676E-05  5.47512E-04  5.47512E-04  5.59577E-04  5.59577E-04  5.59577E-04  2.77375E-03  5.70902E-04  3.11495E-03  6.51820E-04
  -26.5000  1.12039E-04  2.59737E-05  7.70305E-05  7.70305E-05  7.70305E-05  2.31092E-04  5.74661E-05  5.55651E-04  5.55651E-04  5.68051E-04  5.68051E-04  5.68051E-04  2.81545E-03  5.91595E-04  3.15859E-03  6.75035E-04
