,0,1,2,3,4,5,sample
0,-0.08708965199163403,-0.02557524885895077,0.19308446584444747,-0.21555137601750204,0.11222840511710061,-0.14364490204705774,W29_HEO-Ni_RTInit
1,-0.5901501873035441,-0.15023305563475892,1.4638702032747286,-0.20717431906627903,-0.12997903724200566,0.22348208287935561,W29_HEO-Ni_RTFinal
2,1.2666763896413291,-0.62838737216277,-1.9670297525388494,0.6171422584513299,-0.13700164842835724,-0.17548532625966026,W29_HEO-Ni_900C
3,0.7352317080433534,0.2250538964719837,-0.034229839380570164,-0.04769347692085926,0.013680393793303821,-0.059609895143931425,W30_HEO-Mg_RTInit
4,-0.5193643057162631,-0.6514435914874215,1.0984397933497725,-0.11830410859117105,-0.15317620830547224,0.19204635196930517,W30_HEO-Mg_RTFinal
5,1.220972237912292,-0.7258255456808191,-2.0712819345216342,0.6761983872107272,-0.038445116776695105,-0.14888704244397197,W30_HEO-Mg_900C
6,-0.1372947687933524,-0.2992403705594682,-0.4026579801385841,-0.19075051713013194,0.02370023136406694,-0.0018216238382487708,W32_HEO-Co_RT
7,-0.4636652187445984,0.36820154568403785,-0.372754037761816,-0.21900508794170329,-0.04992726745620386,-0.1296699715027117,W36_Zn_RTInit
8,-0.6600699960328767,0.7860562535975727,1.0848100246815184,-0.08550578749388668,0.16451200237145763,0.20655968495000254,W36_Zn_RTFinal
9,-0.3650399392251396,0.7744905112590988,0.9695136661951206,-0.023847203605444428,0.17793981847011078,0.2362260056009046,W36_Zn_900C
10,0.5315586314538908,0.35211953172826405,-0.021160709896614505,-0.22225120360557826,-0.06244176035438831,-0.08777792998505576,W37_ZnCo_RTInit
11,-0.6196444329401553,0.9271466246604233,1.075985543832232,-0.20941338051519345,0.07635772266897022,0.15718836976884895,W37_ZnCo_RTFinal
12,-0.3809750615474421,0.8511823359339113,1.0070969223795476,-0.14466297888809693,0.13117380080287522,0.20275824697756714,W37_ZnCo_900C
13,0.19446848550767437,-0.22308821254999903,-0.4208099537554232,-0.04945952587761017,-0.015333179288895035,-0.17956653664930647,W39_HEO_RTInit
14,-0.2871720502728553,-1.1916320498141595,0.37124072122517454,-0.09282547631678931,0.04694564105364892,0.02625989042821333,W39_HEO_RTFinal
15,1.2916137459007435,-0.7212248176514477,-2.097344646866498,0.6494311325957223,-0.12084780470837919,-0.1645861633531882,W39_HEO_900C
16,-0.5263814694783407,-0.17776581198687624,0.2983223937454621,-0.08510632289966713,-0.09060760381887747,-0.08307995852869357,W46_ZnMg_RT
17,-0.6036741164130832,0.5101653770513866,-0.1750948796680096,-0.031221013387863615,0.051221610737735866,-0.0703912828223718,ZnO_KOCH_RT
