    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)       total      Int(total) 
  -27.7000  9.48367E-05  1.54731E-05  8.68424E-05  8.68424E-05  8.68424E-05  2.60527E-04  4.52430E-05  1.85280E-04  1.85280E-04  1.76054E-04  1.76054E-04  1.76054E-04  8.98722E-04  1.45385E-04  1.25409E-03  2.06101E-04
  -27.6000  9.55628E-05  1.61755E-05  8.70080E-05  8.70080E-05  8.70080E-05  2.61024E-04  4.71614E-05  1.86833E-04  1.86833E-04  1.77415E-04  1.77415E-04  1.77415E-04  9.05911E-04  1.52043E-04  1.26250E-03  2.15380E-04
  -27.5000  9.63048E-05  1.68833E-05  8.71805E-05  8.71805E-05  8.71805E-05  2.61541E-04  4.90837E-05  1.88409E-04  1.88409E-04  1.78793E-04  1.78793E-04  1.78793E-04  9.13196E-04  1.58755E-04  1.27104E-03  2.24722E-04
  -27.4000  9.70633E-05  1.75967E-05  8.73600E-05  8.73600E-05  8.73600E-05  2.62080E-04  5.10100E-05  1.90008E-04  1.90008E-04  1.80187E-04  1.80187E-04  1.80187E-04  9.20578E-04  1.65521E-04  1.27972E-03  2.34128E-04
  -27.3000  9.78390E-05  1.83158E-05  8.75468E-05  8.75468E-05  8.75468E-05  2.62640E-04  5.29404E-05  1.91631E-04  1.91631E-04  1.81600E-04  1.81600E-04  1.81600E-04  9.28060E-04  1.72342E-04  1.28854E-03  2.43599E-04
  -27.2000  9.86321E-05  1.90407E-05  8.77409E-05  8.77409E-05  8.77409E-05  2.63223E-04  5.48750E-05  1.93278E-04  1.93278E-04  1.83030E-04  1.83030E-04  1.83030E-04  9.35644E-04  1.79219E-04  1.29750E-03  2.53135E-04
  -27.1000  9.94436E-05  1.97716E-05  8.79426E-05  8.79426E-05  8.79426E-05  2.63828E-04  5.68141E-05  1.94949E-04  1.94949E-04  1.84477E-04  1.84477E-04  1.84477E-04  9.43331E-04  1.86153E-04  1.30660E-03  2.62738E-04
  -27.0000  1.00274E-04  2.05086E-05  8.81523E-05  8.81523E-05  8.81523E-05  2.64457E-04  5.87578E-05  1.96647E-04  1.96647E-04  1.85943E-04  1.85943E-04  1.85943E-04  9.51124E-04  1.93143E-04  1.31585E-03  2.72410E-04
  -26.9000  1.01124E-04  2.12519E-05  8.83698E-05  8.83698E-05  8.83698E-05  2.65109E-04  6.07063E-05  1.98370E-04  1.98370E-04  1.87427E-04  1.87427E-04  1.87427E-04  9.59021E-04  2.00192E-04  1.32525E-03  2.82150E-04
  -26.8000  1.01994E-04  2.20015E-05  8.85958E-05  8.85958E-05  8.85958E-05  2.65787E-04  6.26599E-05  2.00120E-04  2.00120E-04  1.88930E-04  1.88930E-04  1.88930E-04  9.67030E-04  2.07299E-04  1.33481E-03  2.91961E-04
  -26.7000  1.02886E-04  2.27577E-05  8.88305E-05  8.88305E-05  8.88305E-05  2.66491E-04  6.46185E-05  2.01897E-04  2.01897E-04  1.90453E-04  1.90453E-04  1.90453E-04  9.75153E-04  2.14467E-04  1.34453E-03  3.01843E-04
  -26.6000  1.03800E-04  2.35206E-05  8.90741E-05  8.90741E-05  8.90741E-05  2.67222E-04  6.65826E-05  2.03703E-04  2.03703E-04  1.91995E-04  1.91995E-04  1.91995E-04  9.83391E-04  2.21694E-04  1.35441E-03  3.11798E-04
  -26.5000  1.04737E-04  2.42904E-05  8.93269E-05  8.93269E-05  8.93269E-05  2.67981E-04  6.85522E-05  2.05537E-04  2.05537E-04  1.93557E-04  1.93557E-04  1.93557E-04  9.91745E-04  2.28984E-04  1.36446E-03  3.21826E-04
  -26.4000  1.05699E-04  2.50673E-05  8.95893E-05  8.95893E-05  8.95893E-05  2.68768E-04  7.05276E-05  2.07401E-04  2.07401E-04  1.95139E-04  1.95139E-04  1.95139E-04  1.00022E-03  2.36335E-04  1.37469E-03  3.31930E-04
  -26.3000  1.06685E-04  2.58514E-05  8.98617E-05  8.98617E-05  8.98617E-05  2.69585E-04  7.25090E-05  2.09296E-04  2.09296E-04  1.96742E-04  1.96742E-04  1.96742E-04  1.00882E-03  2.43750E-04  1.38509E-03  3.42110E-04
  -26.2000  1.07698E-04  2.66430E-05  9.01444E-05  9.01444E-05  9.01444E-05  2.70433E-04  7.44967E-05  2.11222E-04  2.11222E-04  1.98366E-04  1.98366E-04  1.98366E-04  1.01754E-03  2.51229E-04  1.39567E-03  3.52368E-04
  -26.1000  1.08739E-04  2.74422E-05  9.04379E-05  9.04379E-05  9.04379E-05  2.71314E-04  7.64908E-05  2.13180E-04  2.13180E-04  2.00011E-04  2.00011E-04  2.00011E-04  1.02639E-03  2.58772E-04  1.40645E-03  3.62705E-04
  -26.0000  1.09808E-04  2.82493E-05  9.07426E-05  9.07426E-05  9.07426E-05  2.72228E-04  7.84916E-05  2.15172E-04  2.15172E-04  2.01677E-04  2.01677E-04  2.01677E-04  1.03538E-03  2.66382E-04  1.41741E-03  3.73123E-04
  -25.9000  1.10908E-04  2.90644E-05  9.10588E-05  9.10588E-05  9.10588E-05  2.73176E-04  8.04994E-05  2.17197E-04  2.17197E-04  2.03366E-04  2.03366E-04  2.03366E-04  1.04449E-03  2.74059E-04  1.42858E-03  3.83623E-04
  -25.8000  1.12039E-04  2.98879E-05  9.13870E-05  9.13870E-05  9.13870E-05  2.74161E-04  8.25145E-05  2.19258E-04  2.19258E-04  2.05078E-04  2.05078E-04  2.05078E-04  1.05375E-03  2.81804E-04  1.43995E-03  3.94207E-04
  -25.7000  1.13204E-04  3.07200E-05  9.17278E-05  9.17278E-05  9.17278E-05  2.75183E-04  8.45370E-05  2.21354E-04  2.21354E-04  2.06812E-04  2.06812E-04  2.06812E-04  1.06314E-03  2.89618E-04  1.45153E-03  4.04875E-04
  -25.6000  1.14402E-04  3.15608E-05  9.20815E-05  9.20815E-05  9.20815E-05  2.76245E-04  8.65674E-05  2.23488E-04  2.23488E-04  2.08569E-04  2.08569E-04  2.08569E-04  1.07268E-03  2.97502E-04  1.46333E-03  4.15630E-04
  -25.5000  1.15637E-04  3.24107E-05  9.24487E-05  9.24487E-05  9.24487E-05  2.77346E-04  8.86059E-05  2.25659E-04  2.25659E-04  2.10350E-04  2.10350E-04  2.10350E-04  1.08237E-03  3.05457E-04  1.47535E-03  4.26474E-04
  -25.4000  1.16910E-04  3.32700E-05  9.28302E-05  9.28302E-05  9.28302E-05  2.78491E-04  9.06527E-05  2.27870E-04  2.27870E-04  2.12155E-04  2.12155E-04  2.12155E-04  1.09221E-03  3.13485E-04  1.48761E-03  4.37408E-04
  -25.3000  1.18224E-04  3.41389E-05  9.32266E-05  9.32266E-05  9.32266E-05  2.79680E-04  9.27083E-05  2.30122E-04  2.30122E-04  2.13985E-04  2.13985E-04  2.13985E-04  1.10220E-03  3.21586E-04  1.50010E-03  4.48433E-04
  -25.2000  1.19580E-04  3.50178E-05  9.36385E-05  9.36385E-05  9.36385E-05  2.80915E-04  9.47730E-05  2.32416E-04  2.32416E-04  2.15840E-04  2.15840E-04  2.15840E-04  1.11235E-03  3.29762E-04  1.51285E-03  4.59552E-04
  -25.1000  1.20980E-04  3.59070E-05  9.40667E-05  9.40667E-05  9.40667E-05  2.82200E-04  9.68472E-05  2.34754E-04  2.34754E-04  2.17721E-04  2.17721E-04  2.17721E-04  1.12267E-03  3.38013E-04  1.52585E-03  4.70767E-04
  -25.0000  1.22427E-04  3.68068E-05  9.45119E-05  9.45119E-05  9.45119E-05  2.83536E-04  9.89311E-05  2.37136E-04  2.37136E-04  2.19627E-04  2.19627E-04  2.19627E-04  1.13315E-03  3.46342E-04  1.53912E-03  4.82080E-04
  -24.9000  1.23925E-04  3.77176E-05  9.49753E-05  9.49753E-05  9.49753E-05  2.84926E-04  1.01025E-04  2.39565E-04  2.39565E-04  2.21561E-04  2.21561E-04  2.21561E-04  1.14381E-03  3.54749E-04  1.55266E-03  4.93491E-04
  -24.8000  1.25475E-04  3.86399E-05  9.54576E-05  9.54576E-05  9.54576E-05  2.86373E-04  1.03130E-04  2.42042E-04  2.42042E-04  2.23521E-04  2.23521E-04  2.23521E-04  1.15465E-03  3.63235E-04  1.56649E-03  5.05005E-04
  -24.7000  1.27081E-04  3.95739E-05  9.59596E-05  9.59596E-05  9.59596E-05  2.87879E-04  1.05246E-04  2.44570E-04  2.44570E-04  2.25509E-04  2.25509E-04  2.25509E-04  1.16567E-03  3.71802E-04  1.58062E-03  5.16622E-04
  -24.6000  1.28745E-04  4.05202E-05  9.64825E-05  9.64825E-05  9.64825E-05  2.89448E-04  1.07373E-04  2.47149E-04  2.47149E-04  2.27525E-04  2.27525E-04  2.27525E-04  1.17687E-03  3.80452E-04  1.59506E-03  5.28346E-04
  -24.5000  1.30472E-04  4.14791E-05  9.70273E-05  9.70273E-05  9.70273E-05  2.91082E-04  1.09513E-04  2.49781E-04  2.49781E-04  2.29569E-04  2.29569E-04  2.29569E-04  1.18827E-03  3.89186E-04  1.60982E-03  5.40178E-04
  -24.4000  1.32265E-04  4.24512E-05  9.75954E-05  9.75954E-05  9.75954E-05  2.92786E-04  1.11665E-04  2.52470E-04  2.52470E-04  2.31643E-04  2.31643E-04  2.31643E-04  1.19987E-03  3.98005E-04  1.62492E-03  5.52121E-04
  -24.3000  1.34129E-04  4.34371E-05  9.81880E-05  9.81880E-05  9.81880E-05  2.94564E-04  1.13830E-04  2.55217E-04  2.55217E-04  2.33747E-04  2.33747E-04  2.33747E-04  1.21167E-03  4.06910E-04  1.64037E-03  5.64177E-04
  -24.2000  1.36066E-04  4.44371E-05  9.88059E-05  9.88059E-05  9.88059E-05  2.96418E-04  1.16008E-04  2.58022E-04  2.58022E-04  2.35879E-04  2.35879E-04  2.35879E-04  1.22368E-03  4.15904E-04  1.65617E-03  5.76350E-04
  -24.1000  1.38083E-04  4.54520E-05  9.94514E-05  9.94514E-05  9.94514E-05  2.98354E-04  1.18201E-04  2.60890E-04  2.60890E-04  2.38043E-04  2.38043E-04  2.38043E-04  1.23591E-03  4.24988E-04  1.67235E-03  5.88641E-04
  -24.0000  1.40186E-04  4.64824E-05  1.00126E-04  1.00126E-04  1.00126E-04  3.00378E-04  1.20409E-04  2.63825E-04  2.63825E-04  2.40239E-04  2.40239E-04  2.40239E-04  1.24837E-03  4.34163E-04  1.68893E-03  6.01055E-04
  -23.9000  1.42380E-04  4.75289E-05  1.00832E-04  1.00832E-04  1.00832E-04  3.02495E-04  1.22632E-04  2.66827E-04  2.66827E-04  2.42467E-04  2.42467E-04  2.42467E-04  1.26106E-03  4.43432E-04  1.70593E-03  6.13593E-04
  -23.8000  1.44670E-04  4.85922E-05  1.01570E-04  1.01570E-04  1.01570E-04  3.04709E-04  1.24872E-04  2.69902E-04  2.69902E-04  2.44728E-04  2.44728E-04  2.44728E-04  1.27399E-03  4.52796E-04  1.72337E-03  6.26260E-04
  -23.7000  1.47066E-04  4.96731E-05  1.02343E-04  1.02343E-04  1.02343E-04  3.07030E-04  1.27128E-04  2.73051E-04  2.73051E-04  2.47022E-04  2.47022E-04  2.47022E-04  1.28717E-03  4.62256E-04  1.74126E-03  6.39058E-04
  -23.6000  1.49574E-04  5.07724E-05  1.03154E-04  1.03154E-04  1.03154E-04  3.09462E-04  1.29403E-04  2.76279E-04  2.76279E-04  2.49351E-04  2.49351E-04  2.49351E-04  1.30061E-03  4.71815E-04  1.75964E-03  6.51991E-04
